"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
"06/21/2020",04:08:00,"BROOKLYN",11212,40.66028,-73.92576,"(40.66028, -73.92576)","WINTHROP STREET","EAST 92 STREET",NA,0,1,0,0,0,0,0,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4322264,"Motorcycle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"06/04/2020",03:55:00,"QUEENS",11420,40.667667,-73.80715,"(40.667667, -73.80715)","135 AVENUE","132 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4317661,NA,NA,NA,NA,NA
"06/26/2020",19:49:00,"BRONX",10457,40.84434,-73.892044,"(40.84434, -73.892044)","CROTONA AVENUE","FAIRMOUNT PLACE",NA,0,1,0,0,0,0,0,1,"Unspecified","Unspecified","Unspecified",NA,NA,4323511,"Station Wagon/Sport Utility Vehicle","Sedan","Sedan",NA,NA
"04/19/2020",01:30:00,"QUEENS",11419,40.681923,-73.831924,"(40.681923, -73.831924)","109 STREET","107 AVENUE",NA,2,1,0,0,0,0,2,1,"Traffic Control Disregarded","Unspecified","Unspecified","Unspecified","Unspecified",4309394,"Sedan","Station Wagon/Sport Utility Vehicle","Sedan","Sedan","Station Wagon/Sport Utility Vehicle"
"06/02/2020",20:22:00,"BRONX",10466,40.89225,-73.861404,"(40.89225, -73.861404)","CARPENTER AVENUE","EAST 230 STREET",NA,0,1,0,0,0,0,0,1,"Illnes","Unspecified","Unspecified","Unspecified",NA,4317355,"Sedan","Sedan","Sedan","Station Wagon/Sport Utility Vehicle",NA
"03/14/2020",15:30:00,"QUEENS",11370,40.760437,-73.89384,"(40.760437, -73.89384)","74 STREET","30 AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4301427,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"02/24/2020",19:08:00,"BRONX",10465,40.82048,-73.81809,"(40.82048, -73.81809)","EAST TREMONT AVENUE","SAMPSON AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4292993,"Sedan",NA,NA,NA,NA
"03/01/2020",18:22:00,"QUEENS",11385,40.70333,-73.8638,"(40.70333, -73.8638)","MYRTLE AVENUE","85 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4296479,"Bus",NA,NA,NA,NA
"03/14/2020",23:52:00,"STATEN ISLAND",10310,40.62474,-74.12785,"(40.62474, -74.12785)","EGBERT AVENUE","DUBOIS AVENUE",NA,0,1,0,1,0,0,0,0,"Alcohol Involvement",NA,NA,NA,NA,4300493,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"02/25/2020",06:45:00,"BROOKLYN",11208,40.663914,-73.86716,"(40.663914, -73.86716)","CRESCENT STREET","WORTMAN AVENUE",NA,1,1,1,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4293236,"Bus",NA,NA,NA,NA
"02/23/2020",13:34:00,"QUEENS",11364,40.75565,-73.76716,"(40.75565, -73.76716)","BELL BOULEVARD","48 AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4292870,"Van",NA,NA,NA,NA
"02/21/2020",11:16:00,"QUEENS",11373,40.732395,-73.87644,"(40.732395, -73.87644)","VANHORN STREET","57 AVENUE",NA,1,1,0,1,0,0,1,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4294348,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"02/27/2020",08:14:00,"BROOKLYN",11207,40.667835,-73.89484,"(40.667835, -73.89484)","BLAKE AVENUE","PENNSYLVANIA AVENUE",NA,2,1,1,1,0,0,1,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4294313,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"02/05/2020",13:42:00,"BROOKLYN",11203,40.643665,-73.94203,"(40.643665, -73.94203)","CLARENDON ROAD","EAST 37 STREET",NA,2,1,0,0,0,0,2,1,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4284064,"Pick-up Truck","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"01/17/2020",23:58:00,"QUEENS",11413,40.683517,-73.75532,"(40.683517, -73.75532)","NASHVILLE BOULEVARD","LUCAS STREET",NA,2,1,0,0,0,0,2,1,"Unsafe Speed","Traffic Control Disregarded","Unspecified","Unspecified",NA,4274978,"Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan",NA
"02/15/2020",18:20:00,"MANHATTAN",10034,40.8651,-73.92189,"(40.8651, -73.92189)","WEST 204 STREET","SHERMAN AVENUE",NA,0,1,0,0,0,0,0,1,"Lost Consciousness","Unspecified",NA,NA,NA,4289605,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"02/18/2020",17:49:00,"MANHATTAN",10035,40.796356,-73.932205,"(40.796356, -73.932205)","PLEASANT AVENUE","EAST 118 STREET",NA,1,1,0,1,1,0,0,0,"Unspecified",NA,NA,NA,NA,4290824,"E-Scooter",NA,NA,NA,NA
"02/06/2020",17:59:00,"QUEENS",11364,40.73873,-73.7573,"(40.73873, -73.7573)","BELL BOULEVARD","75 AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4284635,"Sedan",NA,NA,NA,NA
"01/25/2020",06:30:00,"MANHATTAN",10013,40.71654,-73.996994,"(40.71654, -73.996994)","CANAL STREET","ELIZABETH STREET",NA,1,1,0,1,0,0,1,0,"Unspecified",NA,NA,NA,NA,4278630,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"02/09/2020",22:06:00,"STATEN ISLAND",10310,40.62782,-74.12126,"(40.62782, -74.12126)","CLOVE ROAD","FOREST AVENUE",NA,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4285904,"Sedan","Motorcycle",NA,NA,NA
"12/20/2019",06:09:00,"BROOKLYN",11215,40.67267,-73.99002,"(40.67267, -73.99002)","3 AVENUE","7 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified","Unspecified",NA,NA,4262391,"Box Truck","Station Wagon/Sport Utility Vehicle","Sedan",NA,NA
"12/20/2019",04:45:00,"MANHATTAN",10019,40.764053,-73.99225,"(40.764053, -73.99225)","10 AVENUE","WEST 49 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4263225,"Dump",NA,NA,NA,NA
"01/11/2020",18:34:00,"BRONX",10466,40.890648,-73.84875,"(40.890648, -73.84875)","EAST 233 STREET","PAULDING AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4272653,"Sedan",NA,NA,NA,NA
"01/15/2020",10:31:00,"BROOKLYN",11205,40.688324,-73.96482,"(40.688324, -73.96482)","SAINT JAMES PLACE","LAFAYETTE AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4273603,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"12/18/2019",09:56:00,"BROOKLYN",11220,40.639996,-74.00488,"(40.639996, -74.00488)","8 AVENUE","52 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4260517,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"12/19/2019",16:57:00,"MANHATTAN",10013,40.719936,-74.001434,"(40.719936, -74.001434)","BROADWAY","HOWARD STREET",NA,0,1,0,1,0,0,0,0,"Backing Unsafely",NA,NA,NA,NA,4262052,"Box Truck",NA,NA,NA,NA
"01/14/2020",21:26:00,"BROOKLYN",11219,40.632782,-73.99446,"(40.632782, -73.99446)","53 STREET","13 AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4273507,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"01/03/2020",13:33:00,"BROOKLYN",11236,40.634552,-73.91477,"(40.634552, -73.91477)","EAST 78 STREET","FLATLANDS AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4269924,"Sedan",NA,NA,NA,NA
"12/23/2019",14:20:00,"BROOKLYN",11236,40.650448,-73.91111,"(40.650448, -73.91111)","EAST 95 STREET","DITMAS AVENUE",NA,0,1,0,1,0,0,0,0,"Backing Unsafely",NA,NA,NA,NA,4264249,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"12/19/2019",15:33:00,"BROOKLYN",11232,40.65433,-74.00742,"(40.65433, -74.00742)","3 AVENUE","38 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4261339,"Box Truck",NA,NA,NA,NA
"12/18/2019",08:35:00,"QUEENS",11355,40.755905,-73.83044,"(40.755905, -73.83044)",NA,NA,"133-47    SANFORD AVENUE",0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4260494,"Sedan",NA,NA,NA,NA
"12/28/2019",23:11:00,"BROOKLYN",11235,40.57629,-73.968544,"(40.57629, -73.968544)","OCEAN PARKWAY","BRIGHTON BEACH AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4266084,"Sedan",NA,NA,NA,NA
"12/26/2019",18:51:00,"MANHATTAN",10026,40.80322,-73.95253,"(40.80322, -73.95253)","WEST 116 STREET","7 AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4264999,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"01/14/2020",10:27:00,"BROOKLYN",11223,40.60115,-73.97839,"(40.60115, -73.97839)","WEST 6 STREET","AVENUE S",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4273154,"Pick-up Truck",NA,NA,NA,NA
"01/07/2020",06:52:00,"QUEENS",11368,40.73716,-73.86405,"(40.73716, -73.86405)","97 STREET","57 AVENUE",NA,1,1,1,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4269930,"Flat Rack",NA,NA,NA,NA
"01/04/2020",18:59:00,"STATEN ISLAND",10312,40.549496,-74.181244,"(40.549496, -74.181244)","RENSSELAER AVENUE","CARLTON BOULEVARD",NA,1,1,0,0,0,0,1,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4269925,"Station Wagon/Sport Utility Vehicle","Taxi",NA,NA,NA
"01/16/2020",09:04:00,"BROOKLYN",11234,40.621216,-73.93539,"(40.621216, -73.93539)","FLATBUSH AVENUE","FLATLANDS AVENUE",NA,0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,4274204,"Bus",NA,NA,NA,NA
"12/13/2019",22:26:00,"BROOKLYN",11235,40.587414,-73.938416,"(40.587414, -73.938416)","HARING STREET","VOORHIES AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4258625,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"12/11/2019",15:17:00,"QUEENS",11385,40.704155,-73.90752,"(40.704155, -73.90752)","ONDERDONK AVENUE","GATES AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4256869,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"12/09/2019",09:35:00,"MANHATTAN",10029,40.796,-73.93542,"(40.796, -73.93542)","EAST 116 STREET","1 AVENUE",NA,2,1,2,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4254875,"Pick-up Truck",NA,NA,NA,NA
"12/07/2019",15:05:00,"MANHATTAN",10023,40.76974,-73.982124,"(40.76974, -73.982124)","WEST 61 STREET","BROADWAY",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4254184,"Armored Truck",NA,NA,NA,NA
"12/11/2019",20:18:00,"QUEENS",11377,40.75119,-73.90203,"(40.75119, -73.90203)","BROADWAY","60 STREET",NA,2,1,0,1,0,0,2,0,"Alcohol Involvement","Unspecified","Unspecified","Unspecified",NA,4256870,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan",NA
"11/16/2019",17:00:00,"BRONX",10472,40.8283,-73.88296,"(40.8283, -73.88296)","WESTCHESTER AVENUE","BRONX RIVER AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4242570,"Box Truck",NA,NA,NA,NA
"12/09/2019",16:57:00,"QUEENS",11385,40.709866,-73.91119,"(40.709866, -73.91119)","STANHOPE STREET","FAIRVIEW AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4255483,"Van",NA,NA,NA,NA
"12/02/2019",19:19:00,"BROOKLYN",11223,40.59387,-73.9818,"(40.59387, -73.9818)","AVENUE V","WEST 11 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4251072,"Sedan",NA,NA,NA,NA
"12/08/2019",04:56:00,"BROOKLYN",11234,40.63742,-73.92401,"(40.63742, -73.92401)","FOSTER AVENUE","EAST 55 STREET",NA,1,1,0,0,0,0,1,1,"Alcohol Involvement","Unspecified",NA,NA,NA,4254178,"Sedan","Sedan",NA,NA,NA
"11/30/2019",17:41:00,"QUEENS",11004,40.74486,-73.71112,"(40.74486, -73.71112)","260 STREET","80 AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4249703,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"11/29/2019",08:45:00,"QUEENS",11377,40.746048,-73.89903,"(40.746048, -73.89903)","65 PLACE","ROOSEVELT AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4249421,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"11/16/2019",18:45:00,"BROOKLYN",11233,40.67901,-73.91098,"(40.67901, -73.91098)",NA,NA,"115       ROCKAWAY AVENUE",0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4243991,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"11/22/2019",12:35:00,"QUEENS",11354,40.76315,-73.81261,"(40.76315, -73.81261)","MURRAY STREET","41 AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4248132,"Sedan",NA,NA,NA,NA
"11/05/2019",21:15:00,"QUEENS",11435,40.70058,-73.80775,"(40.70058, -73.80775)","SUTPHIN BOULEVARD","ARCHER AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4235971,"Sedan",NA,NA,NA,NA
"11/07/2019",23:19:00,"MANHATTAN",10018,40.75595,-73.99074,"(40.75595, -73.99074)","8 AVENUE","WEST 40 STREET",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4237237,"Taxi",NA,NA,NA,NA
"11/06/2019",08:37:00,"QUEENS",11379,40.71116,-73.879074,"(40.71116, -73.879074)","67 DRIVE","73 PLACE",NA,2,1,0,1,0,0,2,0,"Unspecified",NA,NA,NA,NA,4236753,"Bus",NA,NA,NA,NA
"10/29/2019",18:26:00,"BROOKLYN",11214,40.60023,-73.9956,"(40.60023, -73.9956)","BAY PARKWAY","BENSON AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4232816,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"10/28/2019",19:50:00,"BROOKLYN",11208,40.67818,-73.870705,"(40.67818, -73.870705)","LIBERTY AVENUE","CRESCENT STREET",NA,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,4231393,NA,NA,NA,NA,NA
"10/27/2019",07:03:00,"QUEENS",11369,40.76318,-73.876335,"(40.76318, -73.876335)","ASTORIA BOULEVARD","93 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4231424,"Taxi",NA,NA,NA,NA
"11/02/2019",23:13:00,"BROOKLYN",11206,40.698643,-73.94697,"(40.698643, -73.94697)","TOMPKINS AVENUE","ELLERY STREET",NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified",NA,NA,NA,4233836,"Motorcycle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"10/30/2019",10:09:00,"BROOKLYN",11230,40.6094,-73.967674,"(40.6094, -73.967674)","OCEAN PARKWAY","AVENUE P",NA,0,1,0,0,0,1,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Unspecified",NA,NA,NA,4236734,"Station Wagon/Sport Utility Vehicle","Bike",NA,NA,NA
"09/27/2019",19:44:00,"QUEENS",11693,40.586746,-73.81712,"(40.586746, -73.81712)","ROCKAWAY FREEWAY","BEACH 94 STREET",NA,0,1,0,0,0,1,0,0,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4214054,"Bike","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"10/03/2019",18:50:00,"BROOKLYN",11229,40.598717,-73.93758,"(40.598717, -73.93758)",NA,NA,"3022      AVENUE V",0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4217361,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"10/13/2019",13:27:00,"QUEENS",11693,40.612522,-73.81978,"(40.612522, -73.81978)","CROSS BAY BOULEVARD","EAST 4 ROAD",NA,0,1,0,0,0,1,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Unspecified",NA,NA,NA,4227325,"Station Wagon/Sport Utility Vehicle","Bike",NA,NA,NA
"10/12/2019",15:19:00,"BROOKLYN",11218,40.644,-73.976585,"(40.644, -73.976585)","CHURCH AVENUE","EAST 4 STREET",NA,2,1,1,1,0,0,1,0,"Unspecified",NA,NA,NA,NA,4225404,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"09/29/2019",04:39:00,"QUEENS",11370,40.75933,-73.88511,"(40.75933, -73.88511)","83 STREET","31 AVENUE",NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified",NA,NA,NA,4214338,"Motorcycle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"10/16/2019",16:57:00,"BROOKLYN",11235,40.583668,-73.94843,"(40.583668, -73.94843)","OCEAN AVENUE","EMMONS AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4225405,NA,NA,NA,NA,NA
"10/12/2019",23:51:00,"QUEENS",11434,40.65616,-73.76736,"(40.65616, -73.76736)","ROCKAWAY BOULEVARD","BREWER BOULEVARD",NA,1,1,0,0,1,1,0,0,"Alcohol Involvement","Other Lighting Defects",NA,NA,NA,4223206,"Sedan","E-Sco",NA,NA,NA
"09/21/2019",21:13:00,"QUEENS",11367,40.729443,-73.82551,"(40.729443, -73.82551)","JEWEL AVENUE","140 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4210967,"Sedan",NA,NA,NA,NA
"09/21/2019",13:54:00,"QUEENS",11101,40.740913,-73.95226,"(40.740913, -73.95226)","BORDEN AVENUE","11 STREET",NA,0,1,0,0,0,1,0,0,"Unspecified","Unspecified",NA,NA,NA,4210973,"Dump","Bike",NA,NA,NA
"10/03/2019",06:54:00,"BRONX",10465,40.82546,-73.8149,"(40.82546, -73.8149)",NA,NA,"530       ELLSWORTH AVENUE",0,1,0,1,0,0,0,0,"Aggressive Driving/Road Rage","Other Vehicular","Other Vehicular",NA,NA,4216913,"Sedan","Sedan","Pick-up Truck",NA,NA
"09/16/2019",07:48:00,"BRONX",10461,40.83664,-73.83382,"(40.83664, -73.83382)","EAST TREMONT AVENUE","WATERBURY AVENUE",NA,0,1,0,0,0,0,0,1,"Unspecified","Unspecified",NA,NA,NA,4206893,"Motorcycle","Flat Rack",NA,NA,NA
"09/17/2019",15:56:00,"BRONX",10467,40.88065,-73.86494,"(40.88065, -73.86494)","WHITE PLAINS ROAD","EAST 215 STREET",NA,1,1,0,1,0,0,1,0,"Driver Inexperience","Unspecified",NA,NA,NA,4207959,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"09/10/2019",01:14:00,"QUEENS",11420,40.68225,-73.81517,"(40.68225, -73.81517)","111 AVENUE","126 STREET",NA,1,1,0,0,0,0,1,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4202753,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"08/24/2019",16:30:00,"BROOKLYN",11236,40.644814,-73.90483,"(40.644814, -73.90483)",NA,NA,"1037      EAST 95 STREET",0,1,0,0,0,0,0,1,"Reaction to Uninvolved Vehicle","Unspecified",NA,NA,NA,4194033,"Motorcycle","Pick-up Truck",NA,NA,NA
"08/17/2019",12:10:00,"QUEENS",11378,40.714024,-73.902374,"(40.714024, -73.902374)",NA,NA,"60-90     ELIOT AVENUE",0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4189966,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"08/24/2019",00:05:00,"BRONX",10463,40.882328,-73.891655,"(40.882328, -73.891655)","SEDGWICK AVENUE","HILLMAN AVENUE",NA,0,1,0,0,0,0,0,1,"Illnes",NA,NA,NA,NA,4195167,"Sedan",NA,NA,NA,NA
"09/08/2019",21:32:00,"BROOKLYN",11215,40.669655,-73.99253,"(40.669655, -73.99253)","3 AVENUE","12 STREET",NA,0,1,0,0,0,1,0,0,"Unspecified","Unspecified",NA,NA,NA,4201958,"Garbage or Refuse","E-Bik",NA,NA,NA
"09/15/2019",05:30:00,"BROOKLYN",11213,40.673706,-73.93899,"(40.673706, -73.93899)","ALBANY AVENUE","PROSPECT PLACE",NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",4207715,"Station Wagon/Sport Utility Vehicle","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan"
"09/02/2019",06:00:00,"BROOKLYN",11206,40.699673,-73.940056,"(40.699673, -73.940056)",NA,NA,"805       BROADWAY",0,1,0,0,0,1,0,0,"Aggressive Driving/Road Rage","Unspecified","Unspecified","Unspecified","Unspecified",4198817,"Tractor Truck Diesel","Station Wagon/Sport Utility Vehicle","Bike","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle"
"09/12/2019",20:00:00,"BROOKLYN",11222,40.736702,-73.95021,"(40.736702, -73.95021)","PROVOST STREET","PAIDGE AVENUE",NA,0,1,0,1,0,0,0,0,"Unsafe Speed",NA,NA,NA,NA,4205130,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"09/02/2019",11:01:00,"QUEENS",11691,40.60439,-73.7408,"(40.60439, -73.7408)","VIRGINIA STREET","CAFFREY AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4198743,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"09/12/2019",02:46:00,"QUEENS",11373,40.735752,-73.88052,"(40.735752, -73.88052)","GRAND AVENUE","GOLDSMITH STREET",NA,0,1,0,0,0,0,0,1,"Other Vehicular","Driver Inattention/Distraction",NA,NA,NA,4204216,"Box Truck","Lift Boom",NA,NA,NA
"08/11/2019",12:27:00,"BROOKLYN",11230,40.619984,-73.96427,"(40.619984, -73.96427)","CONEY ISLAND AVENUE","AVENUE L",NA,1,1,0,0,0,1,1,0,"Unsafe Speed","Unspecified","Unspecified",NA,NA,4188033,"Sedan","Bike","Station Wagon/Sport Utility Vehicle",NA,NA
"08/07/2019",21:30:00,"BROOKLYN",11226,40.640823,-73.96531,"(40.640823, -73.96531)","CORTELYOU ROAD","RUGBY ROAD",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4185526,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"07/23/2019",12:00:00,"STATEN ISLAND",10310,40.633858,-74.12596,"(40.633858, -74.12596)","CLOVE ROAD","CASTLETON AVENUE",NA,0,1,0,0,0,1,0,0,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4175816,"Tow Truck / Wrecker","Bike",NA,NA,NA
"08/08/2019",13:02:00,"MANHATTAN",10011,40.74463,-73.99898,"(40.74463, -73.99898)","8 AVENUE","WEST 22 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4191640,"Taxi","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"08/02/2019",10:25:00,"QUEENS",11378,40.725918,-73.89535,"(40.725918, -73.89535)","GRAND AVENUE","69 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4181646,"Dump",NA,NA,NA,NA
"07/31/2019",11:53:00,"MANHATTAN",10010,40.7429,-73.99281,"(40.7429, -73.99281)","AVENUE OF THE AMERICAS","WEST 23 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4215621,"Bike",NA,NA,NA,NA
"08/05/2019",04:54:00,"BRONX",10458,40.864227,-73.89578,"(40.864227, -73.89578)","GRAND CONCOURSE","EAST 192 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4183333,"Sedan",NA,NA,NA,NA
"07/31/2019",18:08:00,"QUEENS",11422,40.660625,-73.736275,"(40.660625, -73.736275)","249 STREET","WELLER AVENUE",NA,0,1,0,0,0,0,0,1,"Driver Inexperience","Unspecified",NA,NA,NA,4180949,"Motorcycle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"07/29/2019",08:41:00,"BROOKLYN",11232,40.656124,-74.00591,"(40.656124, -74.00591)","3 AVENUE","35 STREET",NA,0,1,0,0,0,1,0,0,"Driver Inattention/Distraction","Unspecified","Unspecified",NA,NA,4179197,"Station Wagon/Sport Utility Vehicle","Bike","Tractor Truck Diesel",NA,NA
"08/05/2019",08:43:00,"BROOKLYN",11212,40.668415,-73.91042,"(40.668415, -73.91042)","ROCKAWAY AVENUE","BELMONT AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4183329,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"07/31/2019",11:53:00,"MANHATTAN",10010,40.7429,-73.99281,"(40.7429, -73.99281)","AVENUE OF THE AMERICAS","WEST 23 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4185690,"Bike",NA,NA,NA,NA
"07/23/2019",15:51:00,"BROOKLYN",11222,40.7263,-73.94913,"(40.7263, -73.94913)","MC GUINNESS BOULEVARD","NORMAN AVENUE",NA,0,1,0,0,0,1,0,0,"Unspecified","Unspecified",NA,NA,NA,4175814,"Box Truck","Bike",NA,NA,NA
